Ref,Value,Footprint,Domain,Populate,Note
R_PWM_UH,33R,R_0603,HOT,YES,
R_PWM_UH_PD,47K,R_0603,HOT,YES,Default LOW during reset
R_PWM_UL,33R,R_0603,HOT,YES,
R_PWM_UL_PD,47K,R_0603,HOT,YES,Default LOW during reset
R_PWM_VH,33R,R_0603,HOT,YES,
R_PWM_VH_PD,47K,R_0603,HOT,YES,Default LOW during reset
R_PWM_VL,33R,R_0603,HOT,YES,
R_PWM_VL_PD,47K,R_0603,HOT,YES,Default LOW during reset
R_PWM_WH,33R,R_0603,HOT,YES,
R_PWM_WH_PD,47K,R_0603,HOT,YES,Default LOW during reset
R_PWM_WL,33R,R_0603,HOT,YES,
R_PWM_WL_PD,47K,R_0603,HOT,YES,Default LOW during reset
R_SCL_PU,4.7K DNP if module fitted,R_0603,HOT,DNP,
R_SDA_PU,4.7K DNP if module fitted,R_0603,HOT,DNP,
R_TACH_PU,10K,R_0603,HOT,YES,
R_TACH_SER,1K,R_0603,HOT,YES,
R_UART_TX_PU,47K,R_0603,SAFE,YES,UART idle HIGH if selector is open
U_BP,Blue Pill STM32F103C8T6,BluePill_2x20,HOT,YES,5V pin intentionally NC
U_BUCK12,"15V to 12V, >=2A",Buck_Module,HOT,YES,
U_BUCK3V3,"15V to 3.3V, >=1A",Buck_Module,HOT,YES,
U_BUCK5,"15V to 5V, >=1A",Buck_Module,HOT,YES,
U_ESTOP_AND,SN74LVC1G08DBVR,SOT-23-5_DBV,HOT,YES,
U_ESTOP_INV,SN74LVC1G14DBVR,SOT-23-5_DBV,HOT,YES,
U_ESTOP_OPTO,LTV-817,DIP-4_W7.62mm,BARRIER,YES,
U_LA1,ISO7740FDWR reinforced 4/0 monitor,SOIC-16W,BARRIER,YES,
U_LA2,ISO7740FDWR reinforced 4/0 monitor,SOIC-16W,BARRIER,YES,
U_UART_ISO,ISO7721DWR reinforced 1/1 UART isolator,SOIC-16W,BARRIER,YES,
U_UNOQ,Arduino UNO Q,UNO_Q_HEADERS,SAFE,YES,Power only through VIN 7-24V or USB-C
