Ref,MPN,LogicalPort,PhysicalPin,PinName,Net,Verification,Source,Note
U_LA2,ISO7740FDWR reinforced 4/0 monitor,HI4,6,IND,PB4_PRECHARGE,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,GND_SAFE,"9,15",GND2,SAFE_GND,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,EN_SAFE,10,EN2,SAFE_3V3,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,SO4,11,OUTD,SAFE_LA_CH7,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,SO3,12,OUTC,SAFE_LA_CH6,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,SO2,13,OUTB,SAFE_LA_CH5,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,SO1,14,OUTA,SAFE_LA_CH4,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,VCC_SAFE,16,VCC2,SAFE_3V3,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_LA2,ISO7740FDWR reinforced 4/0 monitor,PHYSICAL_NC,7,NC,NC,DATASHEET_VERIFIED,"TI ISO7740 Rev.J, Figure 4-1/Table 4-1",
U_ESTOP_OPTO,LTV-817,LED_A,1,ANODE,ESTOP_LED_A,DATASHEET_VERIFIED,Lite-On LTV-817 Rev.Q,
U_ESTOP_OPTO,LTV-817,LED_K,2,CATHODE,SAFE_GND,DATASHEET_VERIFIED,Lite-On LTV-817 Rev.Q,
U_ESTOP_OPTO,LTV-817,E,3,EMITTER,HV_DC_MINUS_HOT_GND,DATASHEET_VERIFIED,Lite-On LTV-817 Rev.Q,
U_ESTOP_OPTO,LTV-817,C,4,COLLECTOR,ESTOP_N,DATASHEET_VERIFIED,Lite-On LTV-817 Rev.Q,
U_ESTOP_INV,SN74LVC1G14DBVR,A,2,A,ESTOP_N,DATASHEET_VERIFIED,"TI SN74LVC1G14 Rev.AA, DBV pin table",
U_ESTOP_INV,SN74LVC1G14DBVR,GND,3,GND,HV_DC_MINUS_HOT_GND,DATASHEET_VERIFIED,"TI SN74LVC1G14 Rev.AA, DBV pin table",
U_ESTOP_INV,SN74LVC1G14DBVR,Y,4,Y,ESTOP_OK,DATASHEET_VERIFIED,"TI SN74LVC1G14 Rev.AA, DBV pin table",
U_ESTOP_INV,SN74LVC1G14DBVR,VCC,5,VCC,HOT_3V3,DATASHEET_VERIFIED,"TI SN74LVC1G14 Rev.AA, DBV pin table",
U_ESTOP_INV,SN74LVC1G14DBVR,PHYSICAL_NC,1,NC,NC,DATASHEET_VERIFIED,"TI SN74LVC1G14 Rev.AA, DBV pin table",Solder pad; no electrical connection required
U_ESTOP_AND,SN74LVC1G08DBVR,A,1,A,PB12_RUN,DATASHEET_VERIFIED,"TI SN74LVC1G08 Rev.Z, DBV pin table",
U_ESTOP_AND,SN74LVC1G08DBVR,B,2,B,ESTOP_OK,DATASHEET_VERIFIED,"TI SN74LVC1G08 Rev.Z, DBV pin table",
U_ESTOP_AND,SN74LVC1G08DBVR,GND,3,GND,HV_DC_MINUS_HOT_GND,DATASHEET_VERIFIED,"TI SN74LVC1G08 Rev.Z, DBV pin table",
U_ESTOP_AND,SN74LVC1G08DBVR,Y,4,Y,ESTOP_GATE_OUT,DATASHEET_VERIFIED,"TI SN74LVC1G08 Rev.Z, DBV pin table",
U_ESTOP_AND,SN74LVC1G08DBVR,VCC,5,VCC,HOT_3V3,DATASHEET_VERIFIED,"TI SN74LVC1G08 Rev.Z, DBV pin table",
Q1,AO3400A (AOS),G,1,G,Q1_GATE,DATASHEET_VERIFIED,AOS AO3400A Rev.3.1,
Q1,AO3400A (AOS),S,2,S,HV_DC_MINUS_HOT_GND,DATASHEET_VERIFIED,AOS AO3400A Rev.3.1,
Q1,AO3400A (AOS),D,3,D,K1_COIL_LOW,DATASHEET_VERIFIED,AOS AO3400A Rev.3.1,
Q_FAN_N,MMBT2222A-7-F (Diodes Inc.),B,1,B,FAN_NPN_BASE,DATASHEET_VERIFIED,Diodes MMBT2222A Rev.18-2,
Q_FAN_N,MMBT2222A-7-F (Diodes Inc.),E,2,E,HV_DC_MINUS_HOT_GND,DATASHEET_VERIFIED,Diodes MMBT2222A Rev.18-2,
Q_FAN_N,MMBT2222A-7-F (Diodes Inc.),C,3,C,FAN_PWM_OC,DATASHEET_VERIFIED,Diodes MMBT2222A Rev.18-2,
D_K1,SS14,K,BANDED_END,CATHODE,HOT_12V,BODY_MARK_VERIFIED,SS14 body marking,
D_K1,SS14,A,UNBANDED_END,ANODE,K1_COIL_LOW,BODY_MARK_VERIFIED,SS14 body marking,
K1,"TE Mini K HV 2-1904058-5, 12V coil, 400VDC/20A",COM,TE_CONTACT_A,POWER_CONTACT_A,RECT_DC_PLUS,TE_CAD_FOOTPRINT_REQUIRED,TE 2-1904058-5 official product/CAD,Lock official TE footprint before PCB release
K1,"TE Mini K HV 2-1904058-5, 12V coil, 400VDC/20A",NO,TE_CONTACT_B,POWER_CONTACT_B,HV_DC_PLUS,TE_CAD_FOOTPRINT_REQUIRED,TE 2-1904058-5 official product/CAD,Lock official TE footprint before PCB release
K1,"TE Mini K HV 2-1904058-5, 12V coil, 400VDC/20A",COIL_PLUS,TE_COIL_A,COIL_A,HOT_12V,TE_CAD_FOOTPRINT_REQUIRED,TE 2-1904058-5 official product/CAD,Lock official TE footprint before PCB release
K1,"TE Mini K HV 2-1904058-5, 12V coil, 400VDC/20A",COIL_LOW,TE_COIL_B,COIL_B,K1_COIL_LOW,TE_CAD_FOOTPRINT_REQUIRED,TE 2-1904058-5 official product/CAD,Lock official TE footprint before PCB release
BR1,KBPC5010,AC1,~1,~1,AC_L_FUSED,BODY_MARK_VERIFIED,KBPC5010 body markings,Do not infer from footprint numbering
BR1,KBPC5010,AC2,~2,~2,AC_N,BODY_MARK_VERIFIED,KBPC5010 body markings,Do not infer from footprint numbering
BR1,KBPC5010,PLUS,+,+,RECT_DC_PLUS,BODY_MARK_VERIFIED,KBPC5010 body markings,Do not infer from footprint numbering
BR1,KBPC5010,MINUS,-,-,HV_DC_MINUS_HOT_GND,BODY_MARK_VERIFIED,KBPC5010 body markings,Do not infer from footprint numbering
J_FAN,4-PIN PWM FAN; 3-PIN = FULL SPEED,GND,1,GND,HV_DC_MINUS_HOT_GND,STANDARD_HEADER_ORDER,Intel/Noctua 4-wire fan convention,
J_FAN,4-PIN PWM FAN; 3-PIN = FULL SPEED,V12,2,V12,HOT_12V,STANDARD_HEADER_ORDER,Intel/Noctua 4-wire fan convention,
J_FAN,4-PIN PWM FAN; 3-PIN = FULL SPEED,TACH,3,TACH,FAN_TACH_RAW,STANDARD_HEADER_ORDER,Intel/Noctua 4-wire fan convention,
J_FAN,4-PIN PWM FAN; 3-PIN = FULL SPEED,PWM,4,PWM,FAN_PWM_OC,STANDARD_HEADER_ORDER,Intel/Noctua 4-wire fan convention,
